time_min,replicate_1,replicate_2,replicate_3
0.0,7.301089986958081,1.6476814542804532,-4.626272296213768
10.0,381.1253786330275,268.7425663516756,319.7030196988107
20.0,643.3228401171693,631.8332199645674,682.045209707939
30.0,776.1046465742002,662.3895340005229,758.6670254057201
40.0,809.6825461785158,856.1199442901194,797.8843182259802
50.0,833.8952697386724,764.9850199281874,736.8992727244064
60.0,712.1354831630501,892.0747833824211,637.3667872445949
70.0,848.5634548577901,756.1460158528542,767.0826854398682
80.0,699.3797776533193,740.569519351883,672.6244529924965
90.0,703.184942985326,652.0713152773743,706.2814746843428
100.0,680.2945836973835,802.7691325264354,565.4606215138533
110.0,714.3265051180439,587.7513323786919,742.9643276854775
120.0,683.3830087285547,706.3379507592764,681.960903285092
130.0,602.9707978827422,591.3683828093713,607.8393835694194
140.0,626.3906522127596,652.5305047383632,604.6885254712739
150.0,730.4411974663052,708.6966485453098,678.2445553371762
160.0,482.86688428528373,494.8777082799431,669.9548162419946
170.0,644.61732217626,644.3675806416682,576.8541524939471
180.0,586.743089164111,511.6005668437878,601.6769425052241
190.0,548.3700860501024,524.1931304473584,519.035282658972
200.0,401.66343857785563,548.0873953112362,556.3116152297557
210.0,530.2615176991168,557.9653867363885,579.9007936283251
220.0,484.93025562081056,535.2620280264861,438.5650862332222
230.0,562.3886788714756,565.8273566586658,593.1988857249364
240.0,515.0412240908341,504.4915012098902,561.6579128008103
250.0,481.5656126140381,482.98886670461803,564.3279507291666
260.0,543.2587759646739,453.39489254455873,499.5539539209473
270.0,427.628734245838,484.3533576651253,499.45903561843306
280.0,433.90283861593855,462.481002293042,481.87295192007986
290.0,439.7842777569902,456.96962219925484,488.69092682862043
300.0,455.091038824451,490.9895256876092,490.7843458736204
310.0,391.83416898182315,548.2392242009606,405.93392870405603
320.0,448.10424584693067,391.7538827675573,493.8181122336765
330.0,352.93591836859974,450.2427098399597,518.2529884290742
340.0,435.7877372438326,385.438292224361,374.4202384171619
350.0,416.9786242223839,403.07966210572494,458.5735031627228
360.0,462.4507590750801,318.67763705736843,387.60380924060223
370.0,431.04426947319075,329.1861835331632,391.1423913598315
380.0,337.68371279356427,459.52921187496025,418.97905576191965
390.0,368.36455784462606,333.2643387234718,395.5327803327708
400.0,381.78075522398785,328.83324140134215,383.35449529374716
410.0,373.71649412128215,325.41347073487066,390.65219533626134
420.0,379.8671182968738,467.6260413898759,385.4425178719097
