time_min,replicate_1,replicate_2,replicate_3
0.0,1.453645094247837,-4.081149360940365,0.9968694369504163
10.0,293.26221090861605,261.5248377268348,266.16020464527855
20.0,568.0556926428259,480.4123019648143,635.2525335948378
30.0,752.4610379281085,794.0890988120328,825.4953039874506
40.0,749.9161854765515,723.761587097673,789.8724693106631
50.0,777.088395338771,752.1223749850192,906.951196726554
60.0,726.5430513220148,806.8814918330639,720.2688333375268
70.0,662.8185253118248,677.243446994503,736.540901044048
80.0,817.1257647744627,711.4366976016215,692.2693064527783
90.0,778.6522763603725,696.626931575582,761.4560217024135
100.0,433.5771128336948,707.1174029331847,754.6422780352386
110.0,647.114976774246,678.1175306627998,613.7652994079326
120.0,574.2844872514579,576.5910808029023,681.5938300784705
130.0,576.9026947697599,627.9711587413942,553.1768138684762
140.0,617.8483353641033,633.3635763598508,630.5271741102076
150.0,548.1518797756398,609.181538333161,561.8714304238582
160.0,523.1299544865205,617.0490469057584,607.6109607501268
170.0,550.4279946801086,575.8154001485092,519.4482239740629
180.0,534.3946157329358,431.94007387253106,502.7055987311554
190.0,623.3220847919752,492.7867114227777,559.2215885901301
200.0,403.4280767949668,475.0370266828354,448.8374177060789
210.0,454.9608058928615,519.6706249546181,468.71173141922617
220.0,539.0302301967968,543.275019811915,531.0542692811808
230.0,426.8057601875578,485.50153447419586,388.2677977259372
240.0,567.5919342085657,497.984659534619,526.6968775540374
250.0,448.8283170647435,461.48634706155025,445.55867244177205
260.0,444.95839537290306,470.19749236592594,480.9404062824138
270.0,438.47579402848623,549.0598392811409,528.8882439209262
280.0,417.5479339173799,509.03653189818544,458.9202273288511
290.0,483.81824876709555,433.6597513973342,480.2824377929914
300.0,397.9438947164736,494.9318520906888,372.0163552044948
310.0,427.68022820800286,543.8203044682884,450.20660408123445
320.0,480.95993892244957,512.0375374965276,480.52016768817606
330.0,565.6838085049766,471.4712025081554,581.9946424624217
340.0,431.2000492110331,463.79398645984855,459.18720415797617
350.0,363.9188284135919,343.2955363890053,464.84851853151326
360.0,499.95207384068146,510.4586821299547,419.97583151353035
370.0,410.54054567428085,440.85867356567564,471.3182564839824
380.0,492.44741770786857,488.4090359445451,399.9335075923363
390.0,474.9961166025757,498.07083091000607,531.9171143960958
400.0,473.41524401207243,446.08817735153957,407.8685484032802
410.0,472.20595102188884,506.4989466291059,489.73877937617436
420.0,394.0526440777739,476.78702680958713,499.330466305472
